kernel_sizes,num_filters,num_fc_layers,fc_size,accuracy,iteration,class0_accuracy,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,class8_accuracy,class9_accuracy
"[5, 5]",32,3,128,56.89333333333333,0,67.30496453900709,64.18439716312056,43.0,45.74468085106383,47.94034090909091,34.7360912981455,76.24113475177305,59.07142857142857,64.32624113475177,66.45390070921985
"[5, 5]",32,3,128,56.757777777777775,0,62.198581560283685,60.99290780141844,46.57142857142857,43.47517730496454,49.50284090909091,39.08701854493581,72.19858156028369,65.14285714285714,67.94326241134752,62.4113475177305
"[5, 5]",32,3,128,56.5,1,66.66666666666667,65.88652482269504,51.42857142857143,47.801418439716315,49.14772727272727,37.08987161198288,65.177304964539,58.714285714285715,66.09929078014184,58.08510638297872
"[5, 5]",32,3,128,56.40888888888889,2,70.63829787234043,69.43262411347517,50.0,37.304964539007095,51.98863636363637,31.098430813124107,74.32624113475177,58.357142857142854,62.695035460992905,55.53191489361702
"[5, 5]",32,3,128,56.76444444444444,3,68.08510638297872,65.46099290780141,50.642857142857146,34.9645390070922,42.25852272727273,40.5848787446505,75.74468085106383,61.0,64.822695035461,58.156028368794324
"[5, 5]",32,3,128,57.04333333333334,4,64.04255319148936,68.51063829787235,46.857142857142854,44.680851063829785,45.80965909090909,34.950071326676174,72.69503546099291,65.57142857142857,66.24113475177305,57.801418439716315
"[5, 5]",32,3,64,56.48777777777778,0,63.47517730496454,61.13475177304964,51.214285714285715,36.09929078014184,48.72159090909091,41.44079885877318,61.347517730496456,66.92857142857143,69.07801418439716,68.93617021276596
"[5, 5]",32,3,64,55.74888888888889,1,70.99290780141844,63.758865248226954,52.57142857142857,33.97163120567376,35.58238636363637,43.15263908701854,77.58865248226951,61.357142857142854,61.98581560283688,55.88652482269504
"[5, 5]",32,3,64,56.44555555555556,2,71.13475177304964,60.42553191489362,48.92857142857143,42.5531914893617,43.53693181818182,37.660485021398,66.52482269503547,61.285714285714285,59.361702127659576,69.7872340425532
"[5, 5]",32,3,64,56.17444444444445,3,65.2482269503546,60.354609929078016,51.285714285714285,36.09929078014184,48.72159090909091,39.80028530670471,73.97163120567376,56.214285714285715,71.20567375886525,56.737588652482266
"[5, 5]",32,3,64,56.57333333333333,4,68.79432624113475,65.2482269503546,52.142857142857146,39.361702127659576,46.875,37.73181169757489,74.8936170212766,64.0,59.43262411347518,58.652482269503544
"[5, 5]",32,2,128,56.71111111111111,0,65.0354609929078,64.8936170212766,53.214285714285715,45.319148936170215,52.34375,32.09700427960057,70.99290780141844,60.142857142857146,64.25531914893617,58.794326241134755
"[5, 5]",32,2,128,56.40222222222222,1,64.7517730496454,65.88652482269504,49.42857142857143,51.13475177304964,52.76988636363637,27.38944365192582,69.64539007092199,60.57142857142857,59.07801418439716,59.148936170212764
"[5, 5]",32,2,128,56.708888888888886,2,66.73758865248227,64.60992907801419,46.714285714285715,34.184397163120565,45.59659090909091,41.44079885877318,73.26241134751773,64.85714285714286,66.87943262411348,62.198581560283685
"[5, 5]",32,2,128,56.22,3,65.39007092198581,62.97872340425532,55.07142857142857,44.326241134751776,40.625,38.4450784593438,77.23404255319149,56.42857142857143,62.97872340425532,55.744680851063826
"[5, 5]",32,2,128,55.92333333333333,4,59.716312056737586,56.09929078014184,49.5,47.801418439716315,52.76988636363637,27.24679029957204,69.36170212765957,67.07142857142857,71.98581560283688,63.54609929078014
"[5, 5]",32,2,64,55.98777777777778,0,71.70212765957447,66.66666666666667,59.07142857142857,39.290780141843975,48.29545454545455,29.885877318116975,66.31205673758865,62.214285714285715,58.794326241134755,50.709219858156025
"[5, 5]",32,2,64,56.87,1,66.95035460992908,65.177304964539,48.642857142857146,45.39007092198582,42.11647727272727,38.017118402282456,70.42553191489361,57.785714285714285,72.76595744680851,64.11347517730496
"[5, 5]",32,2,64,56.46111111111111,2,66.95035460992908,62.4822695035461,49.0,33.54609929078014,43.96306818181818,46.07703281027104,70.0,61.785714285714285,66.02836879432624,59.858156028368796
"[5, 5]",32,2,64,55.87555555555556,3,70.99290780141844,69.14893617021276,52.42857142857143,36.52482269503546,43.53693181818182,31.312410841654778,80.42553191489361,61.785714285714285,60.0,52.5531914893617
"[5, 5]",32,2,64,56.01444444444444,4,67.44680851063829,73.68794326241135,50.92857142857143,40.354609929078016,49.71590909090909,32.73894436519258,72.90780141843972,69.85714285714286,50.92198581560284,52.90780141843972
[5],32,3,128,50.81444444444445,0,57.5177304964539,61.276595744680854,42.0,38.93617021276596,44.03409090909091,37.161198288159774,63.12056737588652,59.57142857142857,56.02836879432624,51.347517730496456
[5],32,3,128,51.18333333333333,1,60.851063829787236,58.43971631205674,46.0,42.269503546099294,32.24431818181818,38.730385164051356,63.04964539007092,59.07142857142857,57.02127659574468,54.39716312056738
[5],32,3,128,51.693333333333335,2,62.4822695035461,64.11347517730496,43.92857142857143,38.51063829787234,40.90909090909091,38.58773181169757,65.46099290780141,55.142857142857146,56.52482269503546,55.815602836879435
[5],32,3,128,51.437777777777775,3,62.90780141843972,53.61702127659574,42.285714285714285,37.730496453900706,36.43465909090909,37.51783166904422,66.09929078014184,62.857142857142854,58.08510638297872,59.361702127659576
[5],32,3,128,51.431111111111115,4,60.56737588652482,55.673758865248224,43.42857142857143,39.00709219858156,37.57102272727273,36.66191155492154,63.12056737588652,61.642857142857146,62.12765957446808,57.87234042553192
